mind_id,headline,topics
N1215,Ken Fisher has a side bet on a risky corner of Wall Street,Business;Economic indicators;Economic policy;Economy;Financial markets;Financial services;General news;Inflation;International trade;Metals and mining;Politics;Stocks and bonds;U.S. news;Washington news;World news
N50938,"Listen to John Legend and Kelly Clarkson's updated version of 'Baby, It's Cold Outside'",Celebrity;Country music;Entertainment;Folk and Americana;General news;Immigration;MTV Video Music Awards;Music;Music videos;U.S. news;World news
N64020,Lowell man's home destroyed by overnight fire,Animals;Anxiety;Business;Climate and environment;Explosions;Fires;Floods;General news;Landslides and mudslides;Los Angeles Area wildfires;Monkeys;Natural disasters;Post-traumatic stress disorder;U.S. news;Utilities;Wildfires;World news
N52879,"As recession threat fades, President Trump grows optimistic economy can propel reelection bid",Business;Economic indicators;Economic policy;Economy;Financial markets;Financial services;General news;Government policy;Government regulations;Inflation;International trade;Jobs and careers;Labor;Politics;Stocks and bonds;U.S. news;Washington news;World news
N63390,How to Sell a House in Southern California: Make a Movie,Business;Climate change;Economic indicators;Economic policy;Economy;Financial markets;Financial services;General news;International trade;Politics;Religion;Stocks and bonds;U.S. news;War and unrest;Washington news;World news
N47008,More than $400K in opioids shipped from India to New Jersey,Biometrics;Business;Climate change;Crime;Drug cartels;Drug crimes;Economic policy;Energy industry;General news;Government policy;Human trafficking;Immigration;International agreements;International trade;Politics;War and unrest;Washington news;World news
N17031,Lamar Odom is Engaged to Girlfriend Sabrina Parr -- See Her Stunning Ring!,Artificial intelligence;Divorce;Entertainment;General news;Gymnastics;Health;Lifestyle;Lyme disease;Marriage;Movies;Music;Prisons;Sports;Technology;Television;Theater;U.S. news;Washington news;World news
N40732,It's the end of an era as Rocky Randels is defeated after 31 years on Cape Canaveral City Council,Accidents;Baltimore Key Bridge collapse;Black experience;Bridge collapses;Building collapses;Business;Elections;General news;Government policy;Humanitarian crises;International trade;Online safety;Politics;Sports;Tennis;U.S. news;Washington news
N41568,Friday's Mashup: Twitter reacts after Tom Brady tweets he and Rob Gronkowski are 'reunited',Animation and comics;Baseball;Comedy;Entertainment;Gospel music;Lifestyle;MLB Playoffs;MLB baseball;Minor league baseball;Movies;Music;NBA basketball;Sports;Technology;Television;Youth sports
N898,Cardinals are a now 4.5-point underdog vs. the Buccaneers in latest odds,Athlete injuries;Football;NFL Super Bowl;NFL football;Sports;Sports transactions
N64646,The Curious Pasta Dish I Found on My Solo Trip to Italy,2024-2025 Mideast Wars;Books and literature;Business;Campaign finance;Celebrity;Children;Climate and environment;Climate change;Entertainment;Famine;Floods;Food and drink;Foreign aid;General news;Government policy;Hostage situations;Humanitarian crises;International trade;Israel-Hamas war;Landslides and mudslides;Lifestyle;Natural disasters;Oddities;Politics;Protests and demonstrations;Religion;Teens;U.S. news;Utilities;World news
N54287,Warren's wealth tax could drive billionaires to funds she hates,Bitcoin;Business;Cryptocurrency;Earnings;Economic indicators;Economic policy;Economy;Financial markets;Financial services;General news;Government policy;Government regulations;Humanitarian crises;Inflation;Information technology;Israel-Hamas war;Labor;Stocks and bonds;Washington news;World news
N29198,Ex-billionaire dragged to court for unpaid $680 million loan,"Aerospace and defense industry;Business;Campaign finance;Colleges and universities;Compensation and benefits;Courts;Discrimination;Diversity, equity and inclusion;Earnings;Education;Education funding;Elections;Electric vehicles;General news;Government policy;Indictments;Lawsuits;Legal proceedings;Politics;Production facilities;Race and ethnicity;Racism;Sports;Stocks and bonds;Subsidies;Technology;U.S. news;Washington news"
N15980,"Former LAPD Chief Charlie Beck to take over for retiring Chicago Police Superintendent Eddie Johnson on interim basis, sources say",Crime;Entertainment;General news;Homelessness;Immigration;Islam;Law enforcement;Military and defense;Politics;Prisons;Race and ethnicity;Shootings;U.S. news;Violence;Washington news
N17014,3 reasons why you shouldn't 'warm up' your car when it's cold,Air quality;Auto industry;Business;Cars;Climate and environment;Compensation and benefits;Electric vehicles;General news;Health;Lifestyle;Lung disease;Personal finance;Taxes;Transportation technology;U.S. news;Wildfires
N5903,Tina Turner Joins Cast On Stage During Debut Of Broadway Musical,Celebrity;Country music;Divorce;Entertainment;Folk and Americana;General news;MTV Video Music Awards;Marriage;Music;Music videos;U.S. news
N16856,Police: 26-year-old man found shot in Westwood is dead,Assault;Capital punishment;Crime;General news;Homicide;Indictments;Law enforcement;Legal proceedings;Politics;Shootings;Sports;U.S. news;WNBA basketball
N38538,One Day at disney book,Books and literature;Business;Children's entertainment;Comedy;Entertainment;Game consoles;Gaming;General news;Horror;Media and entertainment industry;Movies;Sports;Streaming media;Technology;U.S. news;World news
N54937,Home invasion turns deadly in northwest Houston,2024-2025 Mideast Wars;Climate and environment;Crime;Evacuations;Fires;Floods;General news;Government programs;Hostage situations;Israel-Hamas war;Los Angeles Area wildfires;Natural disasters;Politics;Protests and demonstrations;Redistricting;Shootings;Texas Hill Country floods;U.S. news;War and unrest;Wildfires;World news
